time,motor1,motor2,motor3,motor4
1.4280,0,0,0,0
1.4396,0,0,0,0
1.4512,0,0,0,0
1.4629,0,0,0,0
1.4745,0,0,0,0
1.4861,0,0,0,0
1.4977,0,0,0,0
1.5093,0,0,0,0
1.5209,0,0,0,0
1.5325,0,0,0,0
1.5441,0,0,0,0
1.5557,0,0,0,0
1.5673,0,0,0,0
1.5790,0,0,0,0
1.5906,0,0,0,0
1.6022,0,0,0,0
1.6138,0,0,0,0
1.6254,0,0,0,0
1.6370,6,0,1,0
1.6486,28,11,40,7
1.6602,46,28,84,20
1.6718,56,34,128,44
1.6834,71,35,199,77
1.6951,80,34,232,97
1.7067,85,30,217,59
1.7183,94,28,194,24
1.7299,85,29,140,28
1.7415,70,28,116,41
1.7531,79,21,97,41
1.7647,86,18,80,40
1.7763,46,17,72,31
1.7879,42,14,53,22
1.7995,69,10,36,15
1.8112,47,8,38,19
1.8228,38,7,37,14
1.8344,23,6,31,16
1.8460,31,4,26,12
1.8576,24,2,13,4
1.8692,13,1,6,2
1.8808,4,0,2,2
1.8924,0,0,0,0
1.9040,3,0,0,0
1.9156,1,0,0,0
1.9273,0,0,0,0
1.9389,0,0,0,0
1.9505,0,0,0,0
1.9621,0,0,0,0
1.9737,0,0,0,0
1.9853,0,0,0,0
1.9969,0,0,0,0
2.0085,0,0,0,0
2.0201,0,0,0,0
2.0317,0,0,0,0
2.0434,0,0,0,0
2.0550,0,0,0,0
2.0666,0,0,0,0
2.0782,0,0,0,0
2.0898,0,0,0,0
2.1014,0,0,0,0
2.1130,0,0,0,0
2.1246,0,0,0,0
2.1362,0,0,0,0
2.1478,0,0,0,0
2.1595,0,0,0,0
2.1711,0,0,0,0
2.1827,0,0,0,0
2.1943,0,0,0,0
2.2059,0,0,0,0
2.2175,0,0,0,0
2.2291,0,0,0,0
2.2407,0,0,0,1
2.2523,0,0,0,3
2.2639,0,0,0,2
2.2756,0,0,0,1
2.2872,0,0,0,0
2.2988,0,0,0,1
2.3104,0,0,0,0
2.3220,0,0,0,0
2.3336,39,17,6,7
